Date,Open,High,Low,Close,Volume,Capital Gains
2017-03-07 00:00:00-05:00,204.41,204.76,203.89,204.1,65103700,0.0
2017-03-08 00:00:00-05:00,204.39,204.65,203.58,203.72,78168800,0.0
2017-03-09 00:00:00-05:00,203.84,204.3,203.01,203.97,90683900,0.0
2017-03-10 00:00:00-05:00,204.93,204.97,203.74,204.69,81991700,0.0
2017-03-13 00:00:00-04:00,204.63,204.84,204.3,204.79,57256800,0.0
2017-03-14 00:00:00-04:00,204.25,204.3,203.4,204.01,59880800,0.0
2017-03-15 00:00:00-04:00,204.58,206.2,204.35,205.77,96081800,0.0
2017-03-16 00:00:00-04:00,205.91,205.99,205.04,205.37,78344000,0.0
2017-03-17 00:00:00-04:00,205.63,205.82,205.01,205.01,89002100,0.0
2017-03-20 00:00:00-04:00,205.01,205.29,204.4,204.78,52537000,0.0
2017-03-21 00:00:00-04:00,205.39,205.51,202.03,202.16,131809300,0.0
2017-03-22 00:00:00-04:00,202.19,202.92,201.57,202.63,97569200,0.0
2017-03-23 00:00:00-04:00,202.63,203.55,202.04,202.41,100410300,0.0
2017-03-24 00:00:00-04:00,202.72,203.29,201.49,202.27,112504900,0.0
2017-03-27 00:00:00-04:00,200.6,202.32,200.32,202.06,87454500,0.0
2017-03-28 00:00:00-04:00,201.76,203.95,201.64,203.53,93483900,0.0
2017-03-29 00:00:00-04:00,203.24,203.95,203.02,203.72,61950400,0.0
2017-03-30 00:00:00-04:00,203.66,204.57,203.49,204.37,56737900,0.0
2017-03-31 00:00:00-04:00,204.03,204.56,203.84,203.89,73733100,0.0
2017-04-03 00:00:00-04:00,203.95,204.14,202.31,203.54,85546500,0.0
2017-04-04 00:00:00-04:00,203.25,203.76,202.87,203.67,56466200,0.0
2017-04-05 00:00:00-04:00,204.34,205.32,202.86,203.06,108800600,0.0
2017-04-06 00:00:00-04:00,203.2,204.15,202.76,203.63,69135800,0.0
2017-04-07 00:00:00-04:00,203.38,204.12,202.94,203.43,74412300,0.0
2017-04-10 00:00:00-04:00,203.56,204.34,203.02,203.55,67615300,0.0
2017-04-11 00:00:00-04:00,203.17,203.41,201.82,203.31,88045300,0.0
2017-04-12 00:00:00-04:00,203.03,203.22,202.19,202.41,81864400,0.0
2017-04-13 00:00:00-04:00,202.08,202.81,201.1,201.1,92880400,0.0
2017-04-17 00:00:00-04:00,201.62,202.88,201.42,202.88,68405400,0.0
2017-04-18 00:00:00-04:00,202.15,202.81,201.59,202.28,83225800,0.0
2017-04-19 00:00:00-04:00,202.84,203.21,201.68,201.9,68699900,0.0
2017-04-20 00:00:00-04:00,202.52,203.99,202.2,203.55,92572200,0.0
2017-04-21 00:00:00-04:00,203.47,203.52,202.5,202.9,110389800,0.0
2017-04-24 00:00:00-04:00,205.14,205.34,202.87,205.13,119209900,0.0
2017-04-25 00:00:00-04:00,205.77,206.67,205.68,206.32,76698300,0.0
2017-04-26 00:00:00-04:00,206.29,207.17,206.15,206.19,84702500,0.0
2017-04-27 00:00:00-04:00,206.51,206.67,205.83,206.37,57410300,0.0
2017-04-28 00:00:00-04:00,206.63,206.65,205.79,205.92,63532800,0.0
2017-05-01 00:00:00-04:00,206.44,206.86,206.02,206.44,66882500,0.0
2017-05-02 00:00:00-04:00,206.57,206.7,206.11,206.51,57375700,0.0
2017-05-03 00:00:00-04:00,206.51,206.61,205.59,206.26,73137700,0.0
2017-05-04 00:00:00-04:00,206.57,206.64,205.66,206.51,61462700,0.0
2017-05-05 00:00:00-04:00,206.88,207.34,206.44,207.32,62001300,0.0
2017-05-08 00:00:00-04:00,207.36,207.51,206.86,207.28,48385700,0.0
2017-05-09 00:00:00-04:00,207.54,207.74,206.75,207.09,51363200,0.0
2017-05-10 00:00:00-04:00,207.05,207.47,206.84,207.47,54293800,0.0
2017-05-11 00:00:00-04:00,207.02,207.21,205.96,207.04,62358300,0.0
2017-05-12 00:00:00-04:00,206.79,207.09,206.43,206.7,53912700,0.0
2017-05-15 00:00:00-04:00,207.12,207.96,207.1,207.84,61918900,0.0
2017-05-16 00:00:00-04:00,208.13,208.16,207.26,207.65,51241800,0.0
2017-05-17 00:00:00-04:00,207.65,207.65,203.9,203.96,172174100,0.0
2017-05-18 00:00:00-04:00,203.88,205.63,203.63,204.78,107047700,0.0
2017-05-19 00:00:00-04:00,205.27,206.78,205.22,206.12,115011400,0.0
2017-05-22 00:00:00-04:00,206.63,207.33,206.56,207.16,61010600,0.0
2017-05-23 00:00:00-04:00,207.53,207.79,207.15,207.62,48341700,0.0
2017-05-24 00:00:00-04:00,207.85,208.21,207.52,208.11,46927700,0.0
2017-05-25 00:00:00-04:00,208.62,209.38,208.41,209.1,64071700,0.0
2017-05-26 00:00:00-04:00,208.91,209.22,208.83,209.06,46629900,0.0
2017-05-30 00:00:00-04:00,208.74,209.13,208.58,208.88,35201900,0.0
2017-05-31 00:00:00-04:00,209.17,209.2,208.13,208.82,91796000,0.0
2017-06-01 00:00:00-04:00,209.28,210.5,209.0,210.48,68962000,0.0
2017-06-02 00:00:00-04:00,210.54,211.34,210.24,211.18,88666100,0.0
2017-06-05 00:00:00-04:00,211.01,211.3,210.83,211.03,44698800,0.0
2017-06-06 00:00:00-04:00,210.47,211.02,210.28,210.35,50375400,0.0
2017-06-07 00:00:00-04:00,210.69,210.97,210.03,210.74,54144300,0.0
2017-06-08 00:00:00-04:00,210.84,211.32,210.32,210.85,65950700,0.0
2017-06-09 00:00:00-04:00,211.12,211.91,209.26,210.53,132256400,0.0
2017-06-12 00:00:00-04:00,210.29,210.54,209.64,210.48,86108100,0.0
2017-06-13 00:00:00-04:00,211.02,211.57,210.67,211.51,60067000,0.0
2017-06-14 00:00:00-04:00,211.78,211.79,210.42,211.25,78602300,0.0
2017-06-15 00:00:00-04:00,209.9,210.96,209.62,210.84,66464900,0.0
2017-06-16 00:00:00-04:00,211.0,211.05,210.01,210.88,84553100,0.0
2017-06-19 00:00:00-04:00,211.71,212.7,211.61,212.64,65123800,0.0
2017-06-20 00:00:00-04:00,212.28,212.29,211.19,211.21,56906400,0.0
2017-06-21 00:00:00-04:00,211.6,211.71,210.68,211.15,55977600,0.0
2017-06-22 00:00:00-04:00,211.16,211.66,210.88,211.06,44148100,0.0
2017-06-23 00:00:00-04:00,211.12,211.64,210.74,211.31,66986800,0.0
2017-06-26 00:00:00-04:00,211.98,212.4,211.24,211.45,56700500,0.0
2017-06-27 00:00:00-04:00,211.23,211.53,209.73,209.75,82247700,0.0
